名前,ページのURL,画像のURL,種類,価格,年齢（下限）,年齢（上限）,男性or女性or両方,送る人との関係
カシミヤ マフラー ≪mattitotti≫,https://search.rakuten.co.jp/search/mall/マフラー/?f=1&grp=product, ,マフラー,8200,16,30,両方,家族、友人、恋人
大判ストール チェック 厚手◆roshell(ロシェル) チェックマフラー,https://item.rakuten.co.jp/jiggys-shop/r-3-361/,https://image.rakuten.co.jp/jiggys-shop/cabinet/sp89/200906_m01f.jpg,マフラー,2200,6,-,両方,家族、友人
,,,,,,,,
FORBEL swiss,https://item.rakuten.co.jp/hapian/fal50509-pair-2-ca/,https://image.rakuten.co.jp/hapian/cabinet/pair-watch/fal50509-pair-2-ca.jpg,腕時計,9800,6,20,両方,家族、友人、恋人
DW（ダニエル・ウェリントン）,https://item.rakuten.co.jp/hapian/0209dw/,https://image.rakuten.co.jp/hapian/cabinet/mens-watch/0209dw.jpg,腕時計,18000,11,20,両方,家族、恋人
Ω（オメガ）,https://item.rakuten.co.jp/aeonfashionshop/2021474686/?s-id=pc_shop_recommend,https://thumbnail.image.rakuten.co.jp/@0_mall/aeonfashionshop/cabinet/image13/2348914509010_.jpg?_ex=700x700&s=0&r=1,腕時計,538000,31,50,男性,恋人
,,,,,,,,
４℃,https://item.rakuten.co.jp/cavatina/4c-018/,https://image.rakuten.co.jp/cavatina/cabinet/4c-01/4c-018_0.jpg,ネックレス,17500,16,25,女性,恋人
K18,https://item.rakuten.co.jp/veneziajewels/diap0007/,https://image.rakuten.co.jp/veneziajewels/cabinet/02256051/motif01/diap000711x.jpg,ネックレス,30000,21,30,女性,家族、恋人
,,,,,,,,
Emollient,https://search.rakuten.co.jp/search/mall/イヤリング/?l-id=s_search&l2-id=shop_header_search,,イヤリング,10000,16,20,女性,友人、恋人
,,,,,,,,
クロエ オードパルファム ３０ml,https://item.rakuten.co.jp/b-cat/14236l/?iasid=07_10095__90736254_v3j-jbhizxwv-xjzt,https://image.rakuten.co.jp/b-cat/cabinet/02297358/img60927597.jpg,香水,4500,16,20,女性,友人、恋人
エンジェルハート EDT SP 100ml,https://item.rakuten.co.jp/cavatina/cos-318/,https://thumbnail.image.rakuten.co.jp/@0_mall/cavatina/cabinet/cos-01/cos-318.jpg?_ex=350x350&s=2&r=1,香水,2650,16,20,女性,友人、恋人
GUCCI ギルティ ギルティー プールオム EDT 50ml,https://item.rakuten.co.jp/cavatina/parfum-157/,https://image.rakuten.co.jp/cavatina/cabinet/cos-01/parfum-157-01.jpg,香水,4620,21,30,男性,友人、恋人
,,,,,,,,
【3足セット】レディース 靴下,https://item.rakuten.co.jp/miraclejapan/socks-003-3set/,https://www.rakuten.ne.jp/gold/miraclejapan/images/socks/socks-003-3set.jpg,靴下,1000,11,20,女性,家族、友人
ワンランク上のメンズソックス シンプルデザイン 10足セット,https://item.rakuten.co.jp/box408/men46045/,https://image.rakuten.co.jp/box408/cabinet/15ss/mens/men46045_3-2.jpg,靴下,2400,11,20,男性,家族、友人
,,,,,,,,
【Attivo】,https://item.rakuten.co.jp/allegretto/atku078_b/,https://www.rakuten.ne.jp/gold/allegretto/images/pc_img/atku078-full_01.jpg,手袋,7000,20,-,女性,友人、恋人
日本製ホールガーメントニットスマートフォン対応グローブ,https://item.rakuten.co.jp/astarisk/tbu11683/,https://image.rakuten.co.jp/spu/cabinet/tbu11683_17/tbu11683_sp_text14.jpg,手袋,4000,6,-,両方,家族、友人
,,,,,,,,
【GUCCI】,https://item.rakuten.co.jp/x-sell/gucci-necktie16/,https://thumbnail.image.rakuten.co.jp/@0_mall/x-sell/cabinet/newzakka/1601/gucci-necktie16.jpg?_ex=300x300&s=2&r=1,ネクタイ,15000,20,-,男性,恋人
,,,,,,,,
ウェリントン UVカット 伊達メガネ,https://item.rakuten.co.jp/belta/10000594/,,メガネ,1500,10,-,両方,友人
,,,,,,,,
,,,,,,,,
apple watch ,https://www.apple.com/jp/watch/,https://store.storeimages.cdn-apple.com/8561/as-images.apple.com/is/image/AppleInc/aos/published/images/a/lu/alu/space/alu-space-sport-gray-2up_gps_varend_GEO_JP?wid=940&hei=1112&fmt=png-alpha&qlt=80&.v=1506624751206,電子機器,36800,26,70,両方,家族、恋人
ハンディークリーナー,https://item.rakuten.co.jp/enetwakuwaku/i560079/?scid=af_pc_etc&sc2id=af_117_1_10000782,https://thumbnail.image.rakuten.co.jp/@0_mall/enetwakuwaku/cabinet/jisaku/04070698/imgrc0069927545.jpg,家電,3038,36,-,両方,家族
ルンバ,https://item.rakuten.co.jp/emon-shop/braavajet240/?scid=af_pc_etc&sc2id=af_117_1_10000782,https://thumbnail.image.rakuten.co.jp/@0_mall/emon-shop/cabinet/l2/braavajet240.jpg,家電,31980,46,-,両方,家族
ヘヤードライヤー　ナノケアピンク,https://item.rakuten.co.jp/edion/4549077694942/?scid=af_pc_etc&sc2id=af_117_1_10000782,https://thumbnail.image.rakuten.co.jp/@0_mall/edion/cabinet/goods/ll/img_141/4549077694942_ll.jpg,家電,8490,16,-,両方,家族
ブラウン 電動歯ブラシ PRO450 プラムピンク ,https://item.rakuten.co.jp/edion/4210201117193/?scid=af_pc_etc&sc2id=af_117_1_10000782,https://thumbnail.image.rakuten.co.jp/@0_mall/edion/cabinet/goods/ll/img_001/4210201117193_ll.jpg,家電,4710,21,-,両方,家族
ポータブルDVDプレイヤー,https://item.rakuten.co.jp/rijapan/4512254003288/?scid=af_pc_etc&sc2id=af_117_1_10000782,https://thumbnail.image.rakuten.co.jp/@0_mall/rijapan/cabinet/audio-filming/pdvd-v0929pk.gif,家電,11016,10,50,両方,家族
,,,,,,,,
ゴディバゴールドコレクション,https://www.amazon.co.jp/GODIVA-ゴディバ-ゴールドコレクション-12粒/dp/B004H4SH0A?tag=maftracking150527-22&linkCode=ure&creative=6339,https://images-na.ssl-images-amazon.com/images/I/71eC6iG3KfL._SL1000_.jpg,チョコレート,4500,10,40,女性,恋人
ミニバー,https://www.amazon.co.jp/dp/B01N5RBWXD/ref=as_li_ss_tl?smid=A227MJZAXA86W1&pf_rd_p=613594b4-1155-410c-a7ab-ad7e18db2c47&pf_rd_s=merchandised-search-10&pf_rd_t=101&pf_rd_i=3968228051&pf_rd_m=AN1VRQENFRJN5&pf_rd_r=6AV00XB7NPQSQ8021W1J&linkCode=sl1&tag=uuenoo0b-22&linkId=15bd3e8a20dae2a96c24226008fa4655,https://images-na.ssl-images-amazon.com/images/I/61qSkF7ugML._SL1000_.jpg,チョコレート,2376,26,50,女性,恋人
ロイス生チョコレートセレブ,https://item.rakuten.co.jp/airportshop-bluesky/b250037/#b250037,https://thumbnail.image.rakuten.co.jp/@0_mall/airportshop-bluesky/cabinet/04780563/04780567/04834482/imgrc0072897823.jpg,チョコレート,777,11,40,女性,恋人
フルーツリキュール,https://www.amazon.co.jp/フルーツリキュール-ルジェ-200ml-Daichi-Miuraデザインジャー付き/dp/B06XX717CV?tag=maftracking150527-22&linkCode=ure&creative=6339,https://images-na.ssl-images-amazon.com/images/I/817m6jdDw7L._SL1500_.jpg,リキュール,715,20,30,女性,家族、恋人
ハーゲンダッツ引き換え券,https://item.rakuten.co.jp/bridal-message/tkt2/?scid=af_pc_etc&sc2id=af_103_1_10000645,https://thumbnail.image.rakuten.co.jp/@0_mall/bridal-message/cabinet/giftken/cdcstore_tkt2.jpg,アイスクリーム,1980,6,20,両方,家族、友人、恋人
スターバックスコーヒーギフト,https://www.amazon.co.jp/Starbucks-スターバックス-ヴィア-コーヒーエッセンスギフト-SV-22A/dp/B01ARRYKGK?tag=maftracking150527-22&linkCode=ure&creative=6339,https://images-na.ssl-images-amazon.com/images/I/61WWVgUlORL.jpg,コーヒー,2315,21,50,両方,家族、友人
KAGUA,https://item.rakuten.co.jp/maruho-sake/cbg001/?scid=af_pc_etc&sc2id=af_103_1_10000645,https://thumbnail.image.rakuten.co.jp/@0_mall/maruho-sake/cabinet/syouhin-img/jp-craftbeer/kagua/cbg001.jpg,ビール,1495,20,70,両方,家族、友人
コロコロワッフル,https://item.rakuten.co.jp/rl-waffle/0-gift-coro-cube4/?scid=af_pc_etc&sc2id=af_103_1_10000645,https://thumbnail.image.rakuten.co.jp/@0_mall/rl-waffle/cabinet/2017-1m/600-cube4-komi.jpg,ワッフル,1700,6,50,両方,家族、友人、恋人
チョコレートワッフル24個,https://item.rakuten.co.jp/comoshop/846,https://thumbnail.image.rakuten.co.jp/@0_mall/comoshop/cabinet/03050977/imgrc0071239877.jpg,ワッフル,3628,10,30,両方,家族、友人、恋人
たまご屋さんのプリン6個入り,https://item.rakuten.co.jp/f422088-matsuura/10000134/ ,https://thumbnail.image.rakuten.co.jp/@0_mall/f422088-matsuura/cabinet/i/imgrc0070142290.jpg,プリン,5000,16,70,女性,恋人、友人
牛乳プリン,https://item.rakuten.co.jp/946washou/10001484/,https://thumbnail.image.rakuten.co.jp/@0_mall/946washou/cabinet/hok-kashi/0072154068.jpg,プリン,300,10,50,女性,恋人、友人
銀座ゼリー,https://item.rakuten.co.jp/1894ginza-sembikiya/10000240/,https://image.rakuten.co.jp/1894ginza-sembikiya/cabinet/02475225/imgrc0077294177.jpg,ゼリー,3000,50,60,両方,家族、友人
コーヒーゼリー,https://item.rakuten.co.jp/mfcoffee/pmj/,https://image.rakuten.co.jp/mfcoffee/cabinet/vrk11.jpg,ゼリー,228,10,80,女性,恋人、友人
ルタオデュブールフロマージュ,https://item.rakuten.co.jp/rakuten-mart/4952336085625/,https://thumbnail.image.rakuten.co.jp/@0_mall/rakuten-mart/cabinet/25/4952336085625_1.jpg,チーズケーキ,1728,10,30,両方,家族、友人、恋人
生チョコロールケーキ,https://item.rakuten.co.jp/maquis/10000039/,https://image.rakuten.co.jp/maquis/cabinet/02286620/sweets/img58628861.jpg,ロールケーキ,1620,16,30,両方,家族、友人、恋人
クワトロベリートルテ4号,https://item.rakuten.co.jp/durum/10000182/,https://thumbnail.image.rakuten.co.jp/@0_mall/durum/cabinet/sweet/img57304506.jpg,フルーツケーキ,864,10,30,両方,家族、友人、恋人
,,,,,,,,
ゴディバゴールドコレクション,https://www.amazon.co.jp/GODIVA-ゴディバ-ゴールドコレクション-12粒/dp/B004H4SH0A?tag=maftracking150527-22&linkCode=ure&creative=6339,https://images-na.ssl-images-amazon.com/images/I/71eC6iG3KfL._SL1000_.jpg,チョコレート,4500,10,40,女性,恋人
ミニバー,https://www.amazon.co.jp/dp/B01N5RBWXD/ref=as_li_ss_tl?smid=A227MJZAXA86W1&pf_rd_p=613594b4-1155-410c-a7ab-ad7e18db2c47&pf_rd_s=merchandised-search-10&pf_rd_t=101&pf_rd_i=3968228051&pf_rd_m=AN1VRQENFRJN5&pf_rd_r=6AV00XB7NPQSQ8021W1J&linkCode=sl1&tag=uuenoo0b-22&linkId=15bd3e8a20dae2a96c24226008fa4655,https://images-na.ssl-images-amazon.com/images/I/61qSkF7ugML._SL1000_.jpg,チョコレート,2376,20,40,女性,恋人
ロイス生チョコレートセレブ,https://item.rakuten.co.jp/airportshop-bluesky/b250037/#b250037,https://thumbnail.image.rakuten.co.jp/@0_mall/airportshop-bluesky/cabinet/04780563/04780567/04834482/imgrc0072897823.jpg,チョコレート,777,10,40,女性,恋人
フルーツリキュール,https://www.amazon.co.jp/フルーツリキュール-ルジェ-200ml-Daichi-Miuraデザインジャー付き/dp/B06XX717CV?tag=maftracking150527-22&linkCode=ure&creative=6339,https://images-na.ssl-images-amazon.com/images/I/817m6jdDw7L._SL1500_.jpg,リキュール,715,20,40,女性,家族、恋人
ハーゲンダッツ引き換え券,https://item.rakuten.co.jp/bridal-message/tkt2/?scid=af_pc_etc&sc2id=af_103_1_10000645,https://thumbnail.image.rakuten.co.jp/@0_mall/bridal-message/cabinet/giftken/cdcstore_tkt2.jpg,アイスクリーム,1980,6,30,両方,家族、友人、恋人
スターバックスコーヒーギフト,https://www.amazon.co.jp/Starbucks-スターバックス-ヴィア-コーヒーエッセンスギフト-SV-22A/dp/B01ARRYKGK?tag=maftracking150527-22&linkCode=ure&creative=6339,https://images-na.ssl-images-amazon.com/images/I/61WWVgUlORL.jpg,コーヒー,2315,20,50,両方,家族、友人
KAGUA,https://item.rakuten.co.jp/maruho-sake/cbg001/?scid=af_pc_etc&sc2id=af_103_1_10000645,https://thumbnail.image.rakuten.co.jp/@0_mall/maruho-sake/cabinet/syouhin-img/jp-craftbeer/kagua/cbg001.jpg,ビール,1495,20,50,両方,家族、友人
コロコロワッフル,https://item.rakuten.co.jp/rl-waffle/0-gift-coro-cube4/?scid=af_pc_etc&sc2id=af_103_1_10000645,https://thumbnail.image.rakuten.co.jp/@0_mall/rl-waffle/cabinet/2017-1m/600-cube4-komi.jpg,ワッフル,1700,10,50,両方,家族、友人、恋人
チョコレートワッフル24個,https://item.rakuten.co.jp/comoshop/846,https://thumbnail.image.rakuten.co.jp/@0_mall/comoshop/cabinet/03050977/imgrc0071239877.jpg,ワッフル,3628,10,30,両方,家族、友人、恋人
たまご屋さんのプリン6個入り,https://item.rakuten.co.jp/f422088-matsuura/10000134/ ,https://thumbnail.image.rakuten.co.jp/@0_mall/f422088-matsuura/cabinet/i/imgrc0070142290.jpg,プリン,5000,20,50,女性,恋人、友人
牛乳プリン,https://item.rakuten.co.jp/946washou/10001484/,https://thumbnail.image.rakuten.co.jp/@0_mall/946washou/cabinet/hok-kashi/0072154068.jpg,プリン,300,10,50,女性,恋人、友人
銀座ゼリー,https://item.rakuten.co.jp/1894ginza-sembikiya/10000240/,https://image.rakuten.co.jp/1894ginza-sembikiya/cabinet/02475225/imgrc0077294177.jpg,ゼリー,3000,10,50,両方,恋人、友人
コーヒーゼリー,https://item.rakuten.co.jp/mfcoffee/pmj/,https://image.rakuten.co.jp/mfcoffee/cabinet/vrk11.jpg,ゼリー,228,10,60,女性,恋人、友人
ルタオデュブールフロマージュ,https://item.rakuten.co.jp/rakuten-mart/4952336085625/,https://thumbnail.image.rakuten.co.jp/@0_mall/rakuten-mart/cabinet/25/4952336085625_1.jpg,チーズケーキ,1728,10,50,両方,家族、友人、恋人
生チョコロールケーキ,https://item.rakuten.co.jp/maquis/10000039/,https://image.rakuten.co.jp/maquis/cabinet/02286620/sweets/img58628861.jpg,ロールケーキ,1620,10,50,両方,家族、友人、恋人
クワトロベリートルテ4号,https://item.rakuten.co.jp/durum/10000182/,https://thumbnail.image.rakuten.co.jp/@0_mall/durum/cabinet/sweet/img57304506.jpg,フルーツケーキ,864,10,30,両方,家族、友人、恋人